Source,Year,Region,Species,avg_wt
R&I,1995,CI,Pink,1.572054776138585
R&I,1996,CI,Pink,1.6201010708416275
R&I,1997,CI,Pink,1.6709194237355525
R&I,1998,CI,Pink,1.6545812636364081
R&I,1999,CI,Pink,1.3422713577465537
R&I,2000,CI,Pink,1.536931343317205
R&I,2001,CI,Pink,1.5350349347480579
R&I,2002,CI,Pink,1.5741353683045551
R&I,2003,CI,Pink,1.612187343074853
R&I,2004,CI,Pink,1.6755415528101671
R&I,2005,CI,Pink,1.562248583567586
R&I,2006,CI,Pink,1.639331279701631
R&I,2007,CI,Pink,1.525433283621826
R&I,2008,CI,Pink,1.5393953243317426
R&I,2009,CI,Pink,1.3650302248844637
R&I,2010,CI,Pink,1.6287873305879332
R&I,2011,CI,Pink,1.3553458780848768
R&I,2012,CI,Pink,1.7680554632397436
R&I,2013,CI,Pink,1.2608706472945719
R&I,2014,CI,Pink,1.533695240258925
R&I,2015,CI,Pink,1.503142319398715
R&I,1952,PWS,Pink,1.616267452062497
R&I,1953,PWS,Pink,1.613036188737087
R&I,1954,PWS,Pink,1.5915732523731816
R&I,1955,PWS,Pink,1.591667967494093
R&I,1956,PWS,Pink,1.6327224396631197
R&I,1957,PWS,Pink,1.6022830387722213
R&I,1958,PWS,Pink,1.6413852649173695
R&I,1959,PWS,Pink,1.5915114153801204
R&I,1960,PWS,Pink,1.4718382235821827
R&I,1961,PWS,Pink,2.029644474678797
R&I,1962,PWS,Pink,1.3673223291505565
R&I,1963,PWS,Pink,1.720173630632778
R&I,1964,PWS,Pink,1.5470750724246842
R&I,1965,PWS,Pink,1.553892998938196
R&I,1966,PWS,Pink,1.7277296051820925
R&I,1967,PWS,Pink,1.9703735442022203
R&I,1968,PWS,Pink,1.5202500657353475
R&I,1969,PWS,Pink,1.881750479015027
R&I,1970,PWS,Pink,1.6841944472692951
R&I,1971,PWS,Pink,1.6641715795492855
R&I,1972,PWS,Pink,1.9556638426556818
R&I,1973,PWS,Pink,1.7827023281983
R&I,1974,PWS,Pink,1.9360083474542489
R&I,1975,PWS,Pink,1.911777207370373
R&I,1976,PWS,Pink,1.8652973629115228
R&I,1977,PWS,Pink,1.8981244399871897
R&I,1978,PWS,Pink,1.6457912160115284
R&I,1979,PWS,Pink,1.6632297914130079
R&I,1980,PWS,Pink,1.5016501170450882
R&I,1981,PWS,Pink,1.814071984838234
R&I,1982,PWS,Pink,1.5669831620908694
R&I,1983,PWS,Pink,1.5275159369858595
R&I,1984,PWS,Pink,1.668824596265364
R&I,1985,PWS,Pink,1.5927169987576482
R&I,1986,PWS,Pink,1.438108094219688
R&I,1987,PWS,Pink,1.579516206405595
R&I,1988,PWS,Pink,1.5744139558702348
R&I,1989,PWS,Pink,1.5449583015415853
R&I,1990,PWS,Pink,1.3567460497143353
R&I,1991,PWS,Pink,1.1502838441538088
R&I,1992,PWS,Pink,1.5566129444374681
R&I,1993,PWS,Pink,1.2905916224344496
R&I,1994,PWS,Pink,1.418022438547648
R&I,1995,PWS,Pink,1.572054776138585
R&I,1996,PWS,Pink,1.6201010708416277
R&I,1997,PWS,Pink,1.6709194237355525
