Source,Year,Region,Species,avg_wt
ADFG,2000,SPen,Pink,1.2780930760499434
ADFG,2001,SPen,Pink,1.6172425620595978
ADFG,2002,SPen,Pink,1.6467287388252903
ADFG,2003,SPen,Pink,1.7391331718132486
ADFG,2004,SPen,Pink,1.4900355739309235
ADFG,2005,SPen,Pink,1.4561068442386096
ADFG,2006,SPen,Pink,1.5278598072989382
ADFG,2007,SPen,Pink,1.6669182898686417
ADFG,2008,SPen,Pink,1.5452613555316494
ADFG,2009,SPen,Pink,1.4549119573720146
ADFG,2010,SPen,Pink,1.4155208179658638
ADFG,2011,SPen,Pink,1.4905217226981107
ADFG,2012,SPen,Pink,1.401355961288211
ADFG,2013,SPen,Pink,1.4088602613231143
ADFG,2014,SPen,Pink,1.4831955256313019
ADFG,2015,SPen,Pink,1.416893167413657
ADFG,1985,SPen,Sockeye,2.5318159194081513
ADFG,1986,SPen,Sockeye,3.013751153307356
ADFG,1987,SPen,Sockeye,3.189920775633692
ADFG,1988,SPen,Sockeye,2.91966219753143
ADFG,1989,SPen,Sockeye,2.7733670740823726
ADFG,1990,SPen,Sockeye,2.828376408610785
ADFG,1991,SPen,Sockeye,2.8257029505947857
ADFG,1992,SPen,Sockeye,2.6826352325662883
ADFG,1993,SPen,Sockeye,2.594462932278831
ADFG,1994,SPen,Sockeye,2.6397198651926383
ADFG,1995,SPen,Sockeye,2.6435344420216964
ADFG,1996,SPen,Sockeye,3.1840422764125482
ADFG,1997,SPen,Sockeye,2.656009525828554
ADFG,1998,SPen,Sockeye,2.663232676026761
ADFG,1999,SPen,Sockeye,2.7376085113711635
ADFG,2000,SPen,Sockeye,3.122683588808455
ADFG,2001,SPen,Sockeye,3.2079512429107533
ADFG,2002,SPen,Sockeye,2.8658609910050186
ADFG,2003,SPen,Sockeye,2.860699760202304
ADFG,2004,SPen,Sockeye,2.6560564139819016
ADFG,2005,SPen,Sockeye,2.838332353039765
ADFG,2006,SPen,Sockeye,2.7820928037179584
ADFG,2007,SPen,Sockeye,2.6573840222505822
ADFG,2008,SPen,Sockeye,2.6250059596379263
ADFG,2009,SPen,Sockeye,2.861715030787533
ADFG,2010,SPen,Sockeye,2.7491010619315097
ADFG,2011,SPen,Sockeye,3.0217159895558185
ADFG,2012,SPen,Sockeye,2.885100285108813
ADFG,2013,SPen,Sockeye,2.9688831935336877
ADFG,2014,SPen,Sockeye,2.7625810694384683
ADFG,2015,SPen,Sockeye,2.5328740982510545
ADFG,1985,WAK,Chum,3.2355221129519576
ADFG,1986,WAK,Chum,3.113549608039857
ADFG,1987,WAK,Chum,3.0502885198951573
ADFG,1988,WAK,Chum,3.2383132232727516
ADFG,1989,WAK,Chum,3.118636407520298
ADFG,1990,WAK,Chum,3.092294991027092
ADFG,1991,WAK,Chum,2.962862462374133
ADFG,1992,WAK,Chum,3.0932098519676554
ADFG,1993,WAK,Chum,2.973794723282854
ADFG,1994,WAK,Chum,2.9192301863918777
ADFG,1995,WAK,Chum,3.07779594119557
ADFG,1996,WAK,Chum,3.214280579253987
ADFG,1997,WAK,Chum,3.163725715776302
ADFG,1998,WAK,Chum,3.014017291508369
ADFG,1999,WAK,Chum,1.8332767139289694
ADFG,2000,WAK,Chum,3.272142832186157
ADFG,2001,WAK,Chum,3.421271575959125
ADFG,2002,WAK,Chum,3.1207436884020434
ADFG,2003,WAK,Chum,2.9664920447754572
ADFG,2004,WAK,Chum,2.940321036327795
ADFG,2005,WAK,Chum,3.045905409677032
ADFG,2006,WAK,Chum,2.887216952740707
ADFG,2007,WAK,Chum,2.8617773761490755
ADFG,2008,WAK,Chum,3.018129329232511
ADFG,2009,WAK,Chum,2.9645643645339983
ADFG,2010,WAK,Chum,2.9846444020167167
ADFG,2011,WAK,Chum,3.0962860522930233
ADFG,2012,WAK,Chum,3.012281088959759
ADFG,2013,WAK,Chum,3.011091849137724
ADFG,2014,WAK,Chum,3.1959368498347813
ADFG,2015,WAK,Chum,2.988423973118426
ADFG,1985,WAK,Pink,1.5776600081532817
ADFG,1986,WAK,Pink,1.5665984564010533
ADFG,1987,WAK,Pink,1.545424069728461
ADFG,1988,WAK,Pink,1.5780795462136903
ADFG,1989,WAK,Pink,1.4959016393442623
ADFG,1990,WAK,Pink,1.4753072748154525
ADFG,1991,WAK,Pink,1.5558148580318942
ADFG,1992,WAK,Pink,1.5484634744770933
ADFG,1993,WAK,Pink,1.1898877865935131
ADFG,1994,WAK,Pink,1.275582457386902
ADFG,1995,WAK,Pink,1.1622818607502619
ADFG,1996,WAK,Pink,1.181783422377001
ADFG,1997,WAK,Pink,1.4812847898349757
ADFG,1998,WAK,Pink,1.0805114687213897
ADFG,1999,WAK,Pink,1.3603603603603605
ADFG,2000,WAK,Pink,1.428906607512662
ADFG,2001,WAK,Pink,1.4860153405129
ADFG,2002,WAK,Pink,1.405255501000182
ADFG,2003,WAK,Pink,1.4377918874954085
ADFG,2004,WAK,Pink,1.7781348134083108
ADFG,2005,WAK,Pink,1.50653694131955
ADFG,2006,WAK,Pink,1.6430634274633176
ADFG,2007,WAK,Pink,1.5691209590916773
ADFG,2008,WAK,Pink,1.621183160126572
ADFG,2009,WAK,Pink,1.4859355083467696
ADFG,2010,WAK,Pink,1.4853465618141914
ADFG,2011,WAK,Pink,1.429272684830093
ADFG,2012,WAK,Pink,1.3741215333292935
ADFG,2013,WAK,Pink,1.3171662895927605
ADFG,2014,WAK,Pink,1.63159966283916
ADFG,2015,WAK,Pink,1.5693344645550529
ADFG,1985,WAK,Sockeye,2.597148186135373
ADFG,1986,WAK,Sockeye,2.7413163105301406
ADFG,1987,WAK,Sockeye,2.7090732904472685
ADFG,1988,WAK,Sockeye,2.837548392365426
ADFG,1989,WAK,Sockeye,2.5935860827614476
ADFG,1990,WAK,Sockeye,2.604583276787449
ADFG,1991,WAK,Sockeye,2.615885110540352
ADFG,1992,WAK,Sockeye,2.5954199886419853
ADFG,1993,WAK,Sockeye,2.7208690381594605
ADFG,1994,WAK,Sockeye,2.5196198664214844
ADFG,1995,WAK,Sockeye,2.496319153230553
ADFG,1996,WAK,Sockeye,2.838782231250545
ADFG,1997,WAK,Sockeye,2.6996567994280056
ADFG,1998,WAK,Sockeye,2.6044724610582874
ADFG,1999,WAK,Sockeye,0.48973379587959676
ADFG,2000,WAK,Sockeye,2.7675827024278723
ADFG,2001,WAK,Sockeye,3.027163594349091
ADFG,2002,WAK,Sockeye,2.723200558132888
ADFG,2003,WAK,Sockeye,2.853501054407242
ADFG,2004,WAK,Sockeye,2.6208045892900693
ADFG,2005,WAK,Sockeye,2.8538437792376787
ADFG,2006,WAK,Sockeye,2.6141761512738952
ADFG,2007,WAK,Sockeye,2.639336036419831
ADFG,2008,WAK,Sockeye,2.6181792884215853
ADFG,2009,WAK,Sockeye,2.6932429154574886
