Year,Species,Number,Whole_Wt_ metric_tons,Region,Management Area,RI_Area
2000,Pink,2729994,4158.17,Southeastern,A,SEAK
1986,Chum,1228810,4159.71,Central,H,CI
1986,Coho,1299766,4161.51,Southeastern,D,SEAK
1988,Sockeye,1532431,4182.75,Westward,M,WAK
2012,Chum,932651,4212.16,Southeastern,C,SEAK
1988,Chum,1309633,4212.24,A-Y-K,Y,WAK
2000,Sockeye,1431540,4228.36,Central,E,PWS
1987,Sockeye,1449753,4330.67,Westward,M,SPen
2000,Pink,2767748,4341.32,Southeastern,C,SEAK
1986,Coho,1261946,4353.03,Southeastern,B,SEAK
1986,Pink,2709626,4375.96,Central,H,CI
1996,Sockeye,1543134,4389.24,Westward,M,SPen
2000,Sockeye,1581086,4420.76,Central,H,CI
1987,Chum,1375887,4425.63,Westward,M,SPen
2000,Chum,1194448,4427.21,Westward,K,Kod
1987,Chum,1529142,4484.69,Central,T,WAK
1997,Chum,1059830,4490.31,Southeastern,C,SEAK
2009,Sockeye,1728360,4493.43,Westward,K,Kod
1988,Chum,1446618,4515.72,A-Y-K,W,WAK
1992,Coho,1198910,4551.29,Southeastern,A,SEAK
2000,Pink,3562866,4564.18,Westward,M,SPen
2004,Pink,2876094,4570.79,Central,H,CI
1987,Chum,1125934,4587.77,Southeastern,B,SEAK
2008,Sockeye,1821656,4599.07,Westward,K,Kod
1994,Sockeye,1618973,4602.07,Westward,L,SPen
1989,Sockeye,1726940,4609.72,Westward,M,WAK
1996,Sockeye,1640271,4617.93,Southeastern,B,SEAK
2009,Sockeye,1725481,4618.67,Westward,M,SPen
1997,Sockeye,1660126,4622.09,Southeastern,B,SEAK
1991,Chum,1588791,4625.17,Westward,M,SPen
1988,Chum,1469715,4626.71,Central,T,WAK
1998,Chum,1271950,4636.72,Central,E,PWS
1993,Sockeye,1697351,4652.69,Westward,L,SPen
1994,Coho,1058175,4689.29,Central,E,PWS
1996,Chum,1049422,4690.79,Southeastern,C,SEAK
2002,Sockeye,1831014,4693.54,Westward,K,Kod
1998,Sockeye,1717275,4701.58,Central,E,PWS
1991,Sockeye,1734544,4703.4,Central,E,PWS
1996,Pink,3390544,4718.32,Southeastern,A,SEAK
1985,Coho,1024553,4724.22,Central,E,PWS
1992,Chum,1427780,4740.63,Southeastern,D,SEAK
1993,Sockeye,1851133,4803.59,Central,E,PWS
1992,Sockeye,1771612,4807.16,Central,E,PWS
1988,Pink,2997159,4864.1,Westward,L,SPen
1991,Chum,1369216,4869.26,Southeastern,B,SEAK
1985,Chum,1121229,4872.77,Southeastern,A,SEAK
1996,Pink,3353878,4886.34,Southeastern,D,SEAK
2005,Chum,1256247,4899.53,Southeastern,A,SEAK
1985,Chum,1297472,4910.95,Central,E,PWS
2014,Sockeye,1971340,4922.97,Westward,M,WAK
2000,Chum,1218114,4937.87,Southeastern,C,SEAK
2004,Sockeye,1892525,4979.05,Central,E,PWS
1995,Pink,3374322,4997.92,Southeastern,D,SEAK
2006,Sockeye,1851491,5009.39,Westward,M,SPen
2001,Chum,1260954,5013.74,Southeastern,C,SEAK
2001,Sockeye,1511587,5021.46,Westward,L,SPen
1996,Sockeye,1911126,5037.62,Westward,M,WAK
2000,Sockeye,1970364,5048.37,Westward,M,WAK
1992,Pink,3455995,5091.52,Southeastern,D,SEAK
1987,Pink,3242481,5097.28,Southeastern,A,SEAK
1986,Sockeye,1645834,5105.12,Westward,L,SPen
1987,Sockeye,1793820,5111.28,Westward,K,Kod
2008,Sockeye,2006184,5119.01,Westward,M,WAK
1985,Chum,1264102,5136.12,Southeastern,B,SEAK
1993,Sockeye,1951393,5147.07,Southeastern,B,SEAK
2007,Sockeye,2014208,5174.75,Westward,K,Kod
1995,Chum,1522810,5176.6,Westward,K,Kod
1995,Sockeye,1724045,5226.44,Westward,L,SPen
2011,Sockeye,1919235,5229.3,Westward,M,SPen
1994,Sockeye,2107233,5234.07,Westward,M,SPen
1989,Chum,1157272,5254.04,Southeastern,B,SEAK
2014,Chum,1516962,5272.61,Central,E,PWS
1985,Sockeye,2144416,5291.94,Westward,M,SPen
1987,Sockeye,1742059,5293.72,Central,E,PWS
2009,Chum,1684944,5297.95,Westward,M,SPen
2005,Sockeye,1988771,5325.09,Central,E,PWS
